0;-1.07676,0,-0.9822669
0;-0.8822866,0,-0.7649451
0;-0.7882861,0,-0.3556584
0;-0.8060439,0,0.05401608
0;-1.005766,0,0.3989568
0;-1.026521,0,0.6860927
0;-0.9489912,0,0.8444718
0;-0.9911774,0,1.068065
0;-0.7605792,0,-0.8984859
0;-0.738405,0,-0.6594864
0;-0.7582537,0,-0.248751
0;-0.471742,0,0.07176997
0;-0.5141103,0,0.3546841
0;-0.7624218,0,0.7343177
0;-0.541426,0,0.9033116
0;-0.6408566,0,1.146695
0;-0.1901086,0,-0.7812308
0;-0.2661985,0,-0.5612687
0;-0.1766632,0,-0.4361041
0;-0.3363814,0,-0.0004087734
0;-0.4122624,0,0.1545223
0;-0.409903,0,0.5654137
0;-0.2778037,0,1.049795
0;-0.4174545,0,1.196778
0;0.02151637,0,-0.8448936
0;0.04646844,0,-0.5279194
0;-0.0505364,0,-0.1918662
0;0.1392358,0,-0.04655509
0;0.05370026,0,0.1858072
0;-0.1348521,0,0.4677144
0;-0.1290607,0,1.006126
0;-0.08185542,0,1.305142
0;0.3402935,0,-0.8169202
0;0.3547139,0,-0.5015097
0;0.3946038,0,-0.1666053
0;0.3966269,0,0.07859623
0;0.1477688,0,0.2666923
0;0.4028461,0,0.4811745
0;0.2543252,0,0.9374245
0;0.4122967,0,1.160232
0;0.6953015,0,-0.9657012
0;0.5050207,0,-0.4719568
0;0.7359794,0,-0.43222
0;0.7139516,0,0.1011962
0;0.7188897,0,0.3982565
0;0.5767304,0,0.7257273
0;0.6473722,0,0.900422
0;0.7165169,0,1.274901
0;1.04378,0,-1.037777
0;0.891777,0,-0.5358801
