2;1.809098,0,-4.718036
2;1.691932,0,-4.281312
0;1.564904,0,-3.698488
2;0.9237623,0,-3.629433
1;0.4104438,0,-3.808253
2;0.3130093,0,-2.894176
0;0.02376353,0,-2.162437
1;-0.607841,0,-2.048589
0;-0.7832847,0,-1.585351
0;-1.484016,0,-1.887934
1;-1.16299,0,-1.158145
2;-2.027829,0,-1.233008
0;-2.409322,0,-0.3977
1;-2.793047,0,-0.008567552
2;-2.912735,0,0.4736038
0;-3.279041,0,0.3915372
2;-3.394298,0,1.179553
0;-3.914919,0,1.592645
1;-4.485261,0,1.343488
1;-4.890522,0,2.128317
1;2.86556,0,-3.604228
2;2.168853,0,-3.583
0;2.037169,0,-3.036252
2;1.418646,0,-3.526243
0;1.534987,0,-2.364584
1;1.024893,0,-2.128841
2;0.6423982,0,-1.647279
0;0.4337245,0,-1.486958
2;-0.1949457,0,-1.021821
0;-0.04847551,0,-0.6869127
1;-0.6085161,0,-0.1059967
2;-1.436633,0,-0.4780011
0;-1.162081,0,0.3100591
1;-1.602488,0,0.8947363
2;-2.262163,0,1.208897
2;-3.101039,0,1.127416
0;-3.189798,0,1.658294
2;-3.232373,0,2.298051
2;-3.81415,0,2.476839
2;-3.695045,0,2.8767
1;3.756913,0,-3.063989
1;2.969593,0,-2.972479
0;2.534879,0,-2.679253
0;2.25741,0,-2.687251
1;2.115352,0,-1.77135
2;1.945141,0,-1.242992
1;1.058123,0,-1.200045
2;1.104062,0,-0.5382105
2;0.5242059,0,-0.3898222
1;0.2631465,0,-0.06296162
1;-0.2098883,0,-0.07456017
0;-0.8397248,0,0.509959
0;-1.136771,0,0.7332008
1;-1.458623,0,0.9266988
2;-1.815755,0,1.485168
0;-1.931275,0,2.240844
1;-2.323225,0,1.92417
2;-2.801735,0,2.752944
1;-2.850831,0,2.91106
1;-3.153493,0,3.318489
2;3.983247,0,-2.877247
1;3.851928,0,-2.497864
1;2.978581,0,-2.070225
0;2.507247,0,-1.777142
1;2.477648,0,-1.250314
0;2.374283,0,-0.7916145
2;2.344864,0,-0.2249411
1;1.77213,0,0.3133309
2;1.380213,0,0.07890258
2;1.099893,0,0.4224213
2;0.2918663,0,0.6520124
0;0.5126266,0,1.42865
1;-0.09036559,0,1.816604
0;-0.5032183,0,1.750648
1;-0.6917831,0,2.586044
2;-1.686803,0,2.423072
2;-1.280147,0,2.997215
0;-2.082056,0,3.251069
1;-2.472191,0,3.319854
1;-2.997637,0,3.906896
2;5.180352,0,-1.670185
1;4.27419,0,-1.63866
2;4.245572,0,-1.058151
1;3.950907,0,-0.7865301
1;3.640388,0,-0.1269329
1;3.024605,0,-0.3469249
2;2.733737,0,0.3812141
0;2.19571,0,0.6969952
2;2.210797,0,0.9291044
1;1.991445,0,1.402345
0;1.207122,0,1.846468
0;1.056477,0,1.784296
0;0.7724782,0,2.462748
0;0.5974236,0,2.806652
0;0.09806095,0,3.214057
2;-0.4010142,0,3.136914
0;-1.031055,0,3.840066
0;-1.196989,0,3.989715
0;-1.110955,0,4.566416
0;-1.766844,0,4.850972
