0;12.34937,0,-4.572257
2;12.03888,0,-4.276165
2;11.65915,0,-3.890526
0;11.12011,0,-3.48836
2;10.7692,0,-3.395414
0;9.999818,0,-3.42033
1;9.799719,0,-2.33428
1;9.938987,0,-2.143115
2;9.161596,0,-2.089841
1;8.535338,0,-1.865561
0;8.442174,0,-1.414421
2;7.85767,0,-1.17897
0;7.856963,0,-0.2610288
2;7.449122,0,0.2069976
0;6.942463,0,0.3946753
1;6.587678,0,0.7618317
1;6.101905,0,0.9605182
2;5.519145,0,1.038908
0;5.661497,0,1.920933
1;4.954024,0,1.640755
1;12.8562,0,-3.900997
0;12.47503,0,-3.417276
1;12.23595,0,-2.967559
0;11.46107,0,-3.328114
2;11.4345,0,-2.65776
1;11.17517,0,-2.305042
0;10.7855,0,-1.750903
1;9.766194,0,-1.690595
0;9.687383,0,-1.280538
2;9.067168,0,-0.9344559
1;8.755264,0,-0.5755576
0;8.849088,0,0.2473069
2;8.501774,0,0.3297208
1;7.834173,0,0.4940698
2;7.830232,0,1.338116
0;7.313667,0,1.12516
1;7.307315,0,1.689356
1;7.090448,0,2.129253
2;6.230487,0,2.245577
2;6.026334,0,2.965994
2;13.59433,0,-3.070053
1;13.22857,0,-2.648761
0;13.01267,0,-2.524534
1;12.05922,0,-2.677326
2;12.08856,0,-2.110023
1;11.46955,0,-1.623569
2;10.91821,0,-1.35207
0;10.37758,0,-1.043806
0;10.47388,0,-0.850827
0;10.30315,0,0.1218391
2;10.21866,0,0.2925178
2;9.837171,0,0.7071816
0;8.917036,0,0.4313675
0;8.980175,0,1.232233
2;8.625044,0,1.596454
1;8.078906,0,1.919542
0;8.012868,0,2.270074
1;7.501798,0,2.812687
0;6.582726,0,2.917001
2;6.69288,0,3.16019
0;14.03458,0,-2.746315
0;13.60591,0,-2.589596
1;13.04345,0,-2.260306
2;13.24573,0,-1.263919
0;13.03264,0,-1.103118
0;12.39548,0,-0.4650057
0;12.05312,0,-0.3750691
2;11.86494,0,0.1142545
1;11.04851,0,0.1270305
0;10.54582,0,0.2522454
1;10.81239,0,0.8439947
0;9.742895,0,1.088616
1;9.908816,0,1.478758
0;9.565708,0,2.25655
0;8.973214,0,1.997182
0;8.663767,0,2.879182
1;8.066119,0,2.650127
0;8.109089,0,3.529416
0;7.416384,0,3.29231
1;7.240648,0,4.266317
1;14.71578,0,-2.072411
2;14.6615,0,-1.156876
2;14.03762,0,-1.481769
1;13.98611,0,-0.8835233
2;13.06733,0,-0.7599761
2;12.50192,0,-0.3468446
1;12.79262,0,0.5619068
2;12.72133,0,0.6903987
1;11.82955,0,0.6185661
1;11.96867,0,1.533968
2;10.86392,0,1.517961
1;10.71087,0,1.745084
1;10.67334,0,2.702821
1;10.33979,0,2.632185
2;9.874448,0,2.744358
2;9.865877,0,3.486212
2;9.017533,0,3.899739
2;9.236138,0,4.192929
2;8.720797,0,4.730363
2;8.233021,0,4.884531
